timestamp,message
1770946937000,2026-02-13T01:42:17 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946937000,2026-02-13T01:42:17 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946937000,2026-02-13T01:42:17 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946937000,2026-02-13T01:42:17 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946939000,2026-02-13T01:42:19 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946939000,2026-02-13T01:42:19 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946939000,2026-02-13T01:42:19 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946939000,2026-02-13T01:42:19 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946939000,2026-02-13T01:42:19 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946939000,2026-02-13T01:42:19 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946939000,2026-02-13T01:42:19 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946940000,2026-02-13T01:42:20 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946942000,2026-02-13T01:42:22 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946942000,2026-02-13T01:42:22 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946942000,2026-02-13T01:42:22 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946942000,2026-02-13T01:42:22 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946942000,2026-02-13T01:42:22 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946942000,2026-02-13T01:42:22 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946942000,2026-02-13T01:42:22 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946945000,2026-02-13T01:42:25 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946945000,2026-02-13T01:42:25 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946945000,2026-02-13T01:42:25 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946945000,2026-02-13T01:42:25 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946945000,2026-02-13T01:42:25 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946945000,2026-02-13T01:42:25 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946945000,2026-02-13T01:42:25 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946945000,2026-02-13T01:42:25 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946947000,2026-02-13T01:42:27 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946947000,2026-02-13T01:42:27 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946947000,2026-02-13T01:42:27 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946947000,2026-02-13T01:42:27 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
